ticker,cusip,rank,manager,entities,shares,value_usd,value_$m,pct_of_13f_value,prev_shares,delta_shares,delta_%,status
SNDK,80004C200,3,BlackRock,1,10403455,6609731106,6610,9.68,9624416,779039,8.1,increased
SNDK,80004C200,4,State Street,1,5573852,3541291130,3541,5.19,5281522,292330,5.5,increased
SNDK,80004C200,5,Geode,1,4212772,2672243072,2672,3.92,3655860,556912,15.2,increased
SNDK,80004C200,6,Morgan Stanley,2,2840010,1804374358,1804,2.64,2970361,-130351,-4.4,decreased
SNDK,80004C200,7,"ARROWSTREET CAPITAL,",1,2823970,1794181100,1794,2.63,3478002,-654032,-18.8,decreased
SNDK,80004C200,8,Situational Awareness,2,2280238,1448726410,1449,2.12,1054200,1226038,116.3,increased
SNDK,80004C200,9,Goldman Sachs,1,2042540,1297707149,1298,1.9,658656,1383884,210.1,increased
SNDK,80004C200,10,Jane Street,1,1787655,1135768728,1136,1.66,846163,941492,111.3,increased
SNDK,80004C200,11,Charles Schwab,1,1744286,1108214667,1108,1.62,1642168,102118,6.2,increased
SNDK,80004C200,12,BNP PARIBAS,3,1293488,821750624,822,1.2,863394,430094,49.8,increased
SNDK,80004C200,13,Millennium,2,1236124,785359022,785,1.15,1697544,-461420,-27.2,decreased
SNDK,80004C200,14,Northern Trust,1,1234681,784442227,784,1.15,1133873,100808,8.9,increased
SNDK,80004C200,15,Clear Street,1,1224583,778026563,778,1.14,0,1224583,,NEW
SNDK,80004C200,16,UBS,2,1174925,746476848,746,1.09,786784,388141,49.3,increased
SNDK,80004C200,17,D.E. Shaw,1,1172928,745208076,745,1.09,2093003,-920075,-44.0,decreased
SNDK,80004C200,18,Invesco,1,1165224,740313409,740,1.08,1326405,-161181,-12.2,decreased
SNDK,80004C200,19,Deutsche Bank,2,1028625,653526607,654,0.96,917546,111079,12.1,increased
SNDK,80004C200,20,Bank of America,1,999802,635214037,635,0.93,1645125,-645323,-39.2,decreased
SNDK,80004C200,21,Susquehanna,1,986344,626663797,627,0.92,113382,872962,769.9,increased
SNDK,80004C200,22,Anther Capital,1,889568,565178133,565,0.83,0,889568,,NEW
SNDK,80004C200,23,Polar Capital,1,877032,557213511,557,0.82,1268237,-391205,-30.8,decreased
SNDK,80004C200,24,Dimensional,1,876910,556611662,557,0.82,958462,-81552,-8.5,decreased
SNDK,80004C200,25,Amundi,1,872632,554418015,554,0.81,370466,502166,135.5,increased
AVGO,11135F101,1,Vanguard,10,485097884,150142646146,150143,14.38,483509379,1588505,0.3,increased
AVGO,11135F101,2,BlackRock,1,385944774,119453766785,119454,11.44,379894948,6049826,1.6,increased
AVGO,11135F101,3,Capital Group,9,320117457,99048657094,99049,9.49,355594918,-35477461,-10.0,decreased
AVGO,11135F101,4,State Street,1,191380232,59234095606,59234,5.67,190084351,1295881,0.7,increased
AVGO,11135F101,5,Fidelity (FMR),2,124113765,38414451712,38414,3.68,123193746,920019,0.7,increased
AVGO,11135F101,6,Geode,1,114280922,35282186681,35282,3.38,111277280,3003642,2.7,increased
AVGO,11135F101,7,Morgan Stanley,2,75938182,23503627627,23504,2.25,72967622,2970560,4.1,increased
AVGO,11135F101,8,UBS,2,63684851,19711098233,19711,1.89,57249704,6435147,11.2,increased
AVGO,11135F101,9,Bank of America,2,58743648,18181746518,18182,1.74,57847496,896152,1.5,increased
AVGO,11135F101,10,WELLINGTON MANAGEMENT,1,49687982,15378927308,15379,1.47,47385880,2302102,4.9,increased
AVGO,11135F101,11,Northern Trust,1,47625547,14740583050,14741,1.41,47744014,-118467,-0.2,decreased
AVGO,11135F101,12,"Nuveen, LLC",1,36250901,11220016360,11220,1.07,36722111,-471210,-1.3,decreased
AVGO,11135F101,13,Goldman Sachs,1,36032651,11152465575,11152,1.07,33353157,2679494,8.0,increased
AVGO,11135F101,14,Charles Schwab,2,33732109,10438896249,10439,1.0,32727477,1004632,3.1,increased
AVGO,11135F101,15,Invesco,1,33308654,10309361588,10309,0.99,34662541,-1353887,-3.9,decreased
AVGO,11135F101,16,Legal & General,1,32172300,9957648574,9958,0.95,33465313,-1293013,-3.9,decreased
AVGO,11135F101,17,BNY Mellon,1,28712968,8886950530,8887,0.85,29998458,-1285490,-4.3,decreased
AVGO,11135F101,18,Franklin,1,28614645,8856518443,8857,0.85,28943655,-329010,-1.1,decreased
AVGO,11135F101,19,AllianceBernstein,1,24873857,8608841908,8609,0.82,25280400,-406543,-1.6,decreased
AVGO,11135F101,20,HSBC HOLDINGS,1,25360909,8294266702,8294,0.79,0,25360909,,NEW
AVGO,11135F101,21,Ameriprise,1,26408739,8169401258,8169,0.78,24854880,1553859,6.3,increased
AVGO,11135F101,22,Amundi,1,26064886,8067328521,8067,0.77,23787630,2277256,9.6,increased
AVGO,11135F101,23,Wells Fargo,1,25685240,7949838495,7950,0.76,23909474,1775766,7.4,increased
AVGO,11135F101,24,ROYAL BANK,1,23766653,7356016000,7356,0.7,24304901,-538248,-2.2,decreased
AVGO,11135F101,25,JENNISON ASSOCIATES,1,22783092,7051594863,7052,0.68,21892210,890882,4.1,increased
MRVL,573874104,1,Fidelity (FMR),1,131255670,13000874085,13001,19.01,126817429,4438241,3.5,increased
MRVL,573874104,2,Vanguard,8,80149540,7938811939,7939,11.61,78843319,1306221,1.7,increased
MRVL,573874104,3,BlackRock,1,63842984,6323647594,6324,9.25,59806492,4036492,6.7,increased
MRVL,573874104,4,State Street,1,23338406,2311669114,2312,3.38,22834816,503590,2.2,increased
MRVL,573874104,5,Ameriprise,1,20844639,2064664686,2065,3.02,17146932,3697707,21.6,increased
MRVL,573874104,6,Employees Provident,1,25070143,1637792210,1638,2.39,0,25070143,,NEW
MRVL,573874104,7,UBS,2,16500037,1634328663,1634,2.39,16849765,-349728,-2.1,decreased
MRVL,573874104,8,Geode,1,12584552,1242215873,1242,1.82,12108452,476100,3.9,increased
MRVL,573874104,9,Franklin,1,11369038,1126103215,1126,1.65,11550963,-181925,-1.6,decreased
MRVL,573874104,10,Goldman Sachs,1,11248027,1114117016,1114,1.63,10445427,802600,7.7,increased
MRVL,573874104,11,Invesco,1,10523485,1042351222,1042,1.52,9833701,689784,7.0,increased
MRVL,573874104,12,Jane Street,1,9953890,985932805,986,1.44,7833520,2120370,27.1,increased
MRVL,573874104,13,Bank of America,2,9873460,977966236,978,1.43,11463601,-1590141,-13.9,decreased
MRVL,573874104,14,FIL Ltd,1,9234970,914723778,915,1.34,8994248,240722,2.7,increased
MRVL,573874104,15,Morgan Stanley,1,7867835,779309409,779,1.14,7340161,527674,7.2,increased
MRVL,573874104,16,Northern Trust,1,6868466,680321557,680,0.99,6798272,70194,1.0,increased
MRVL,573874104,17,Boston Partners,1,6165682,612570878,613,0.9,0,6165682,,NEW
MRVL,573874104,18,Millennium,1,6112977,605490372,605,0.89,6427581,-314604,-4.9,decreased
MRVL,573874104,19,Legal & General,1,5627016,557355938,557,0.81,5753035,-126019,-2.2,decreased
MRVL,573874104,20,Barclays,1,5491657,543948627,544,0.8,5118426,373231,7.3,increased
MRVL,573874104,21,Citigroup,1,4987313,493993394,494,0.72,3758517,1228796,32.7,increased
MRVL,573874104,22,BROWN ADVISORY,1,4974027,492679333,493,0.72,6788665,-1814638,-26.7,decreased
MRVL,573874104,23,DANSKE BANK,1,5541437,463463654,463,0.68,3596431,1945006,54.1,increased
MRVL,573874104,24,Amundi,1,4563354,452000213,452,0.66,3646619,916735,25.1,increased
MRVL,573874104,25,Qube Research,1,4401282,435946982,436,0.64,3017499,1383783,45.9,increased
GOOGL,02079K305,1,Vanguard,9,534909748,153818647135,153819,12.41,530118086,4791662,0.9,increased
GOOGL,02079K305,2,BlackRock,1,446980992,128533854139,128534,10.37,441987843,4993149,1.1,increased
