ticker,fiscal_year,fiscal_period,revenue,cost_of_revenue,gross_profit,research_development_expense,sga_expense,sales_marketing_expense,general_administrative_expense,total_operating_expenses,stock_based_compensation,operating_income,interest_expense,interest_investment_income,other_nonoperating_income_expense,pretax_income,income_tax_expense,net_income,net_income_available_common,eps_basic,eps_diluted,dividends_per_share,weighted_avg_shares_basic,weighted_avg_shares_diluted,shares_outstanding,remaining_performance_obligation,cash_and_cash_equivalents,short_term_investments,long_term_investments,accounts_receivable_net,inventory_net,total_current_assets,property_plant_equipment_net,goodwill,intangible_assets_net,total_assets,accounts_payable,total_current_liabilities,short_term_debt,commercial_paper,long_term_debt,deferred_revenue_current,deferred_revenue_noncurrent,total_liabilities,total_stockholders_equity,net_cash_from_operating_activities,capital_expenditures,net_cash_from_investing_activities,net_cash_from_financing_activities,share_repurchases,depreciation_and_amortization,dividends_paid,acquisitions_net_of_cash,debt_issued,debt_repaid,gross_profit_derived,gross_margin,operating_margin,net_margin,effective_tax_rate,rd_intensity,sbc_pct_revenue,capex_intensity,free_cash_flow,fcf_margin,net_working_capital,total_debt,net_debt,tangible_book_value,book_value_per_share,inventory_days,days_sales_outstanding,roe,roa,roic,revenue_yoy_growth,eps_yoy_growth,diluted_share_count_change,deferred_revenue_total,segment_revenue_mix_pct
META,2025,FY,200966000000,36175000000,,57372000000,,11991000000,12152000000,117690000000,20427000000,83276000000,1165000000,2123000000,2656000000,85932000000,25474000000,60458000000,,23.98,23.49,2.1,2521000000,2574000000,,,35873000000,45719000000,,19769000000,,108722000000,,24534000000,3692000000,366021000000,8894000000,41836000000,,,58744000000,,,148778000000,217243000000,115800000000,69691000000,-102003000000,-20370000000,26248000000,18616000000,5324000000,,29906000000,,164791000000,0.8199944269179861,0.41437855159579234,0.3008369574952977,0.2964436996695061,0.2854811261606441,0.10164405919409253,0.3467800523471632,46109000000,0.2294368201586338,66886000000,58744000000,-22848000000,189017000000,,,35.905003831493886,0.2782966539773433,0.16517631502017643,0.2440064072329069,0.2216703849824621,-0.015507124895222171,-0.015302218821729108,0,
AMZN,2024,FY,637959000000,326288000000,,,,43907000000,11359000000,569366000000,22011000000,68593000000,2406000000,4677000000,21000000,68614000000,9265000000,59248000000,,5.66,5.53,,10473000000,10721000000,,,78779000000,22423000000,,55451000000,34214000000,190867000000,252665000000,23074000000,8602000000,624894000000,94363000000,179431000000,5017000000,,52623000000,18103000000,6500000000,,285970000000,115877000000,82999000000,-94342000000,-11812000000,0,52795000000,,5680000000,0,9182000000,311671000000,0.48854393464156787,0.1075194487420038,0.09287117197186653,0.13503075174162707,,0.03450221722712588,0.13010083720113674,32878000000,0.05153622724971354,11436000000,57640000000,-43562000000,254294000000,,38.27327391752072,31.72557327351758,0.2071825715984194,0.09481288026449286,0.22403281959357693,,,,24603000000,
AMZN,2025,FY,716924000000,356414000000,,,,47129000000,11172000000,636949000000,19467000000,79975000000,2274000000,4381000000,17336000000,97311000000,19087000000,77670000000,,7.29,7.17,,10656000000,10827000000,,,86810000000,36219000000,,67729000000,38325000000,229083000000,357025000000,23273000000,9197000000,818042000000,121909000000,218005000000,2748000000,,65648000000,20576000000,4400000000,,411065000000,139514000000,131819000000,-142545000000,9661000000,,65756000000,,3680000000,15673000000,5021000000,360510000000,0.5028566486824266,0.11155296795755199,0.10833784334183261,0.19614432078593375,,0.027153505810936725,0.18386746712343288,7695000000,0.010733355278941701,11078000000,68396000000,-54633000000,378595000000,,39.24824782415954,34.482155709670764,0.1889482198679041,0.09494622525493801,0.16372900602607646,0.12377754683294695,0.29656419529837247,0.009887137393899792,24976000000,
AMZN,2026,FY,,,,,,,,,19810000000,,,,,,,90798000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,148531000000,151003000000,-176954000000,62475000000,,70439000000,,19297000000,68368000000,5021000000,,,,,,,,,-2472000000,,,,,,,,,,,,,,,0,
TSLA,2023,FY,96773000000,79113000000,17660000000,3969000000,4800000000,,,8769000000,1812000000,8891000000,156000000,1066000000,172000000,9973000000,-5001000000,14997000000,14999000000,4.73,4.3,,3174000000,3485000000,,3430000000,16398000000,12696000000,,3508000000,13626000000,49616000000,29725000000,253000000,178000000,106618000000,14431000000,28748000000,1975000000,,2682000000,2864000000,3251000000,43009000000,62634000000,13256000000,8898000000,-15584000000,2589000000,,3330000000,,64000000,3931000000,1351000000,17660000000,0.18248891736331416,0.0918747997891974,0.15497091130790613,-0.5014539255991176,0.04101350583323861,0.018724230932181497,0.09194713401465285,4358000000,0.04503322207640561,20868000000,4657000000,-24437000000,62203000000,,62.865647870767134,13.23116985109483,0.23943864354823258,0.1406610516047947,0.2623037913367605,,,,6115000000,
TSLA,2024,FY,97690000000,80240000000,17450000000,4540000000,5150000000,,,10374000000,1999000000,7076000000,350000000,1569000000,695000000,8990000000,1837000000,7091000000,7130000000,2.23,2.04,,3197000000,3498000000,,7180000000,16139000000,20424000000,,4418000000,12017000000,58360000000,35836000000,244000000,150000000,122070000000,12474000000,28821000000,2343000000,,5535000000,3168000000,3317000000,48390000000,72913000000,14923000000,11339000000,-18787000000,3853000000,,4120000000,,0,5744000000,,17450000000,0.17862626676220697,0.07243320708363189,0.07258675401781145,0.20433815350389323,0.04647353874500972,0.02046268809499437,0.11607124577745931,3584000000,0.03668748080663323,29539000000,7878000000,-28685000000,72519000000,,54.66357178464606,16.507011976660866,0.09725289043106168,0.05808962070942902,0.08708320277495593,0.009475783534663594,-0.5255813953488372,0.0037302725968435535,6485000000,
TSLA,2025,FY,94827000000,77733000000,17094000000,6411000000,5834000000,,,12739000000,2825000000,4355000000,338000000,1680000000,-419000000,5278000000,1423000000,3794000000,3794000000,1.18,1.08,,3225000000,3528000000,,10420000000,16513000000,27546000000,,4576000000,12392000000,68642000000,,257000000,124000000,137806000000,13371000000,31714000000,1569000000,,6584000000,3424000000,3631000000,54941000000,82137000000,14747000000,8527000000,-15478000000,1139000000,,5030000000,,0,5586000000,,17094000000,0.18026511436616155,0.04592573845001951,0.04000970187815706,0.2696097006441834,0.06760732702711253,0.029791093254031027,0.08992164678836197,6220000000,0.06559313275754795,36928000000,8153000000,-35906000000,81756000000,,58.18738502309187,17.613548883756735,0.04619111971462313,0.02753145726601164,0.043114381903500844,-0.029306991503736307,-0.47058823529411764,0.00857632933104635,7055000000,
CEG,2023,FY,20841000000,,,,,,,23335000000,178000000,1610000000,431000000,,837000000,2447000000,859000000,1623000000,,5.02,5.01,0.282,323000000,324000000,,364000000,368000000,,563000000,1934000000,,8299000000,22116000000,425000000,336000000,50758000000,1302000000,6319000000,121000000,,7496000000,,,39472000000,10925000000,-5301000000,2422000000,3031000000,2196000000,992000000,2514000000,366000000,1690000000,3195000000,168000000,,,0.0772515714217168,0.0778753418741903,0.3510420923579894,,0.008540856964637014,0.11621323353006094,-7723000000,-0.3705676311117509,1980000000,7617000000,7249000000,10164000000,,,33.87121539273547,0.148558352402746,0.03197525513219591,0.05748994339736091,,,,0,
CEG,2024,FY,18964000000,,,,,,,19287000000,332000000,4352000000,506000000,,164000000,4516000000,774000000,3749000000,,11.91,11.89,0.3525,315000000,315000000,,915000000,3022000000,,640000000,3116000000,1600000000,10776000000,21235000000,420000000,236000000,52926000000,2369000000,6846000000,1028000000,,7384000000,,,39387000000,13166000000,-2464000000,2565000000,7428000000,-2289000000,999000000,2700000000,444000000,32000000,920000000,121000000,,,0.22948744990508332,0.19769036068340012,0.17139061116031887,,0.017506855093862055,0.13525627504745835,-5029000000,-0.26518666947901287,3930000000,8412000000,5390000000,12510000000,,,59.97363425437671,0.2847485948655628,0.07083475040622757,0.19433649818011922,-0.09006285686867233,1.3732534930139724,-0.02777777777777779,0,
CEG,2025,FY,22663000000,,,,,,,22447000000,385000000,3086000000,511000000,,425000000,3511000000,1187000000,2319000000,,7.4,7.4,0.3878,313000000,314000000,,1047000000,3641000000,,307000000,4266000000,1736000000,12119000000,22474000000,420000000,201000000,57249000000,2813000000,7944000000,92000000,,7250000000,,,42396000000,14517000000,4237000000,2949000000,-3198000000,-420000000,400000000,2601000000,486000000,14000000,0,1076000000,,,0.1361690861757049,0.1023253761637912,0.3380803189974366,,0.016988042183294357,0.1301239906455456,1288000000,0.056832722940475665,4175000000,7342000000,3701000000,13896000000,,,68.70626130697613,0.15974374870841082,0.04050725776869465,0.11212449970215778,0.1950537861210715,-0.3776282590412111,-0.0031746031746031633,0,
